source_id,short_label,primitive,route_family,coordinate,coverage_class,severity,support_basis,control_role,mission_consequence,minimal_measurement_to_close,forbidden_inference,safe_claim
Linke2022_MOONRISE_laser_melting,MOONRISE mobile laser-melting payload exemplar,directed_energy,laser_melting,active_source_capacity,MISSING_ACTIVE,P0,source page does not lock active mission source capacity,source-capacity coordinate,sample process does not imply bus/source feasibility,report active source capacity after simultaneous loads and duty limits,do not infer payload/source feasibility,mobile-payload directed-energy source-capacity context; not route closure
Linke2022_MOONRISE_laser_melting,MOONRISE mobile laser-melting payload exemplar,directed_energy,laser_melting,wall_to_cavity_efficiency,MISSING_ACTIVE,P0,source page does not lock wall-to-process efficiency,efficiency/loss coordinate,wall/bus energy cannot be inferred from nominal beam power,measure wall-to-process efficiency and losses,do not infer bus energy,mobile-payload directed-energy source-capacity context; not route closure
Yuan2022_ArchIntel_laser_sls_bionic,robotic lunar bionic laser-SLS architecture exemplar,directed_energy,laser_sls_robotic_architecture,input_or_cavity_power,PARTIAL_OR_CONTEXT_ONLY,P1,"Springer abstract reports powder laying/compaction, dual-light laser printing and empirical samples",energy-input coordinate,thermal dose cannot be converted to route demand without power boundary,report metered input/delivered power and channel count,do not infer bus-delivered energy,robotic workflow/source-capacity context; not terminal route closure
Yuan2022_ArchIntel_laser_sls_bionic,robotic lunar bionic laser-SLS architecture exemplar,directed_energy,laser_sls_robotic_architecture,process_time_or_dwell,PARTIAL_OR_CONTEXT_ONLY,P1,"Springer abstract reports powder laying/compaction, dual-light laser printing and empirical samples",residence-time coordinate,energy density and throughput remain underdetermined,report dwell/scan-speed distribution and batch/continuous mode,do not infer complete residence distribution,robotic workflow/source-capacity context; not terminal route closure
Yuan2022_ArchIntel_laser_sls_bionic,robotic lunar bionic laser-SLS architecture exemplar,directed_energy,laser_sls_robotic_architecture,processed_mass_denominator,MISSING_ACTIVE,P0,source page does not lock accepted mass denominator,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not compute route MJ/kg,robotic workflow/source-capacity context; not terminal route closure
Yuan2022_ArchIntel_laser_sls_bionic,robotic lunar bionic laser-SLS architecture exemplar,directed_energy,laser_sls_robotic_architecture,active_source_capacity,MISSING_ACTIVE,P0,source page does not lock active mission source capacity,source-capacity coordinate,sample process does not imply bus/source feasibility,report active source capacity after simultaneous loads and duty limits,do not infer payload/source feasibility,robotic workflow/source-capacity context; not terminal route closure
Yuan2022_ArchIntel_laser_sls_bionic,robotic lunar bionic laser-SLS architecture exemplar,directed_energy,laser_sls_robotic_architecture,wall_to_cavity_efficiency,MISSING_ACTIVE,P0,source page does not lock wall-to-process efficiency,efficiency/loss coordinate,wall/bus energy cannot be inferred from nominal beam power,measure wall-to-process efficiency and losses,do not infer bus energy,robotic workflow/source-capacity context; not terminal route closure
Meurisse2018_Acta_solar3d,solar 3D printing of lunar regolith exemplar,solar_aperture,solar_sintering,route_energy_per_mass,FULLTEXT_EXTRACTION_REQUIRED,P0,DOI/abstract source does not lock terminal route energy per accepted mass,route-demand coordinate,aperture cannot be sized against route demand,measure route energy and accepted processed mass at receiver/output boundary,do not size route demand,solar-aperture route exemplar; not site-duty or bridge-capacity closure
Meurisse2018_Acta_solar3d,solar 3D printing of lunar regolith exemplar,solar_aperture,solar_sintering,aperture_area,PARTIAL_OR_CONTEXT_ONLY,P1,Crossref metadata plus accessible abstract snippets; final publisher page lock open,collector coordinate,available solar power cannot be inferred from route demand alone,"report effective aperture, concentration and usable illuminated time",do not infer effective lunar aperture,solar-aperture route exemplar; not site-duty or bridge-capacity closure
Meurisse2018_Acta_solar3d,solar 3D printing of lunar regolith exemplar,solar_aperture,solar_sintering,duty_or_site_illumination,MISSING_ACTIVE,P0,source does not bind route to site-linked hourly duty sequence,temporal-duty coordinate,zero-storage and bridge-capacity claims remain undecidable,bind process window to site-linked hourly illumination,do not infer zero-storage support,solar-aperture route exemplar; not site-duty or bridge-capacity closure
Meurisse2018_Acta_solar3d,solar 3D printing of lunar regolith exemplar,solar_aperture,solar_sintering,optical_efficiency_or_dust_loss,MISSING_ACTIVE,P0,source does not lock lunar optical/dust/pointing losses,field-loss coordinate,aperture area cannot be converted to delivered thermal energy,"report optical throughput, pointing and dust degradation",do not infer delivered solar thermal energy,solar-aperture route exemplar; not site-duty or bridge-capacity closure
Fateri2019_ASCE_solar_sintering,solar sintering under ambient/vacuum exemplar,solar_aperture,solar_sintering,route_energy_per_mass,FULLTEXT_EXTRACTION_REQUIRED,P0,DOI/abstract source does not lock terminal route energy per accepted mass,route-demand coordinate,aperture cannot be sized against route demand,measure route energy and accepted processed mass at receiver/output boundary,do not size route demand,solar-aperture exemplar; not route-energy/site-duty closure
Fateri2019_ASCE_solar_sintering,solar sintering under ambient/vacuum exemplar,solar_aperture,solar_sintering,aperture_area,PARTIAL_OR_CONTEXT_ONLY,P1,Crossref/DLR metadata and ASCE abstract page identify solar sintering for lunar AM,collector coordinate,available solar power cannot be inferred from route demand alone,"report effective aperture, concentration and usable illuminated time",do not infer effective lunar aperture,solar-aperture exemplar; not route-energy/site-duty closure
Fateri2019_ASCE_solar_sintering,solar sintering under ambient/vacuum exemplar,solar_aperture,solar_sintering,duty_or_site_illumination,MISSING_ACTIVE,P0,source does not bind route to site-linked hourly duty sequence,temporal-duty coordinate,zero-storage and bridge-capacity claims remain undecidable,bind process window to site-linked hourly illumination,do not infer zero-storage support,solar-aperture exemplar; not route-energy/site-duty closure
Fateri2019_ASCE_solar_sintering,solar sintering under ambient/vacuum exemplar,solar_aperture,solar_sintering,optical_efficiency_or_dust_loss,MISSING_ACTIVE,P0,source does not lock lunar optical/dust/pointing losses,field-loss coordinate,aperture area cannot be converted to delivered thermal energy,"report optical throughput, pointing and dust degradation",do not infer delivered solar thermal energy,solar-aperture exemplar; not route-energy/site-duty closure
NASA_NTRS_LLP_2025,NASA/NTRS landing and launching pad design context,cross_primitive_context,landing_pad_requirements,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,official NTRS citation record,field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,"mission-need and requirement-context anchor, not process coordinate evidence"
Altun2021_OpenCeramics_AM_structures,lunar regolith AM structures context,context_only,ceramic_additive_manufacturing,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,Crossref metadata only,field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,field-positioning source; outside current primitive predicates until route boundary is coded
Goulas2017_APMT_regolith_simulants_3d_printing,extraterrestrial simulant 3D-printing assessment context,context_only,simulant_3d_printing,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,Crossref metadata only,field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,"field-positioning source for simulants and AM context, not closure predicate evidence"
Jakus2017_SciRep_regolith_inks,ambient-condition regolith ink extrusion context,context_only,regolith_ink_extrusion,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,"Nature page reports regolith inks, deposition rates and material properties",field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,related-work contrast for binder/ink routes outside current thermal/pressure predicates
Suhaizan2023_Review_regolith_sintering_3d_printing,recent regolith sintering and 3D-printing review,review_context,review,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,Crossref metadata only,field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,review source for related-work map and corpus expansion; not a terminal coordinate source
Hintze2009_AIAA_surface_stabilization,lunar surface stabilization via sintering/polymer context,cross_primitive_context,surface_stabilization,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,Crossref metadata only,field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,historical route-context source; not terminal closure evidence
Khoshnevis2005_AIAA_lunar_contour_crafting,lunar contour crafting historical context,cross_primitive_context,contour_crafting,not_in_current_active_basis,OUT_OF_SCOPE_FOR_CURRENT_PREDICATE,context,Crossref metadata only,field positioning,useful for related work but not a closure-coordinate witness under the current theorem,introduce a separate predicate before coding this source as closure evidence,do not count this source as closure-complete evidence under pressure/directed-energy/solar predicates,historical construction-route context; not current active-coordinate evidence
